DIRECT BLACK EX,DD000
Direct Chroma Blue A(BRL),DD001
Direct Chroma Yellow (RL),DD002
Direct Chroma Yellow PG,DD003
Direct Violet 3B,DD004
Munna Green  Mix,DD005
Red BWST,DD006
Terqouise Blue FBL,DD007
Rose FR,DD008
US Khaki,DD009
DIRECT ORANGE ,DD010
DIRECT CONGO RED,DD011
DIRECT  BOARDEAUX B ,DD012
DIRECT BLUE 5B,DD013
DIRECT VIOLET 3B,DD014
DIRECT BROWN,DD015
DIRECT NAVY BLUE ,DD016
DIRECT DIAZO BLACK,DD017
DIRECT ,DD018
CXP 25kg,OB001
CXP 25kg 200%,OB002
ER-330%,OB003
ER ,OB004
ERN-Conc,OB005
ERN-P,OB006
EXL,OB007
EXL 50kg,OB008
HAP-D,OB009
JBBU 1,OB010
ACYRILIC  LEQ,OB011
JBBU 30kg,OB012
Disp Black 250%,DP001
Disp Black 300%,DP002
Disp Black,DP003
Disp Navy Blue Exnsf,DP004
Disp Navy Blue HGLN,DP005
Disp Royal Blue CC ,DP006
Disp Blue 2BLN,DP007
Disp Blue FBL,DP008
DISP BLUE FBL-N,DP009
DISP BLUE SE2R,DP010
Disp Rubine B 200%,DP011
Disp Rubine B Good,DP012
Disp Scarlet B 200%,DP013
Disp Orange H3R,DP014
Disp Orange H3R INDIA,DP015
Disp Yellow 4G 200%,DP016
Disp Yellow 4G,DP017
Disp Yellow 10G,DP018
DISP RED FB,DP019
DISP VIOLET 3R,DP020
Disp Sanalon Navy Blue,DP021
Sanalon Black,DP022
Somalon Navy Blue KNXF,DP023
SUMIFIX SUPRA YELLOW E-XF GRAN,SS001
SUMIFIX SUPRA RED E-XF GRAN,SS002
SUMIFIX SUPRA BLUE E-XF GRAN,SS003
SUMIFIX SUPRA NAVY BLUE BF GRAN,SS004
SUMIFIX TURQ BLUE G (N) CONC,SS005
SUMIFIX BRILL BLUE R SPL GRAN,SS006
SUMIFIX SUPRA BLUE BRF 150% GRAN,SS007
SUNFIX Navy Blue SPD Conc,SN001
SUNFIX Orange S2R 150%,SN002
SUNFIX Red S3B 150%,SN003
SUNFIX Red S3B 150% High Conc,SN004
SUNFIX Yellow S3R 150%,SN005
SUNFIX Yellow S3R 150% High Conc,SN006
SUNFIX Yellow S4GL,SN007
SUNZOL Black B 150%,SN008
SUNZOL Black DN Conc,SN009
SUNZOL Turquoise Blue G 165%,SN010
Gulaber Salt,CH001
J-210,CH002
Levling Najam,CH003
ME 120kg,CH004
ME 25kg,CH005
NP-9,CH006
NS-200,CH007
NS-300,CH008
NS-500,CH009
NS-B,CH010
PK,CH011
SAQ,CH012
Sirka,CH013
Soap,CH014
SPP 200kg,CH015
SPP 25kg,CH016
Trisol (TR-JETT),CH017
Agri Nor,CH018
Coconut Oil,CH019
DTU,CH020
Sanazol Blue 5.B,CH021
DTC,CH022